unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
HillaryClinton_2016727,132786,403467,HillaryClinton,2016-07-27,38.981405,32.510905,1.6136269374464908e-06
realDonaldTrump_2016727,201994,599101,realDonaldTrump,2016-07-27,38.981405,32.510905,1.6136269374464908e-06
HillaryClinton_2016728,241945,697361,HillaryClinton,2016-07-28,42.86702666666667,36.13791666666666,9.741418602044908e-09
realDonaldTrump_2016728,169778,459233,realDonaldTrump,2016-07-28,42.86702666666667,36.13791666666666,9.741418602044908e-09
HillaryClinton_2016729,437644,1324246,HillaryClinton,2016-07-29,41.35895,36.76307333333333,9.876598196733532e-09
realDonaldTrump_2016729,198841,592188,realDonaldTrump,2016-07-29,41.35895,36.76307333333333,9.876598196733532e-09
HillaryClinton_201673,17104,44797,HillaryClinton,2016-07-03,40.85236,37.58384333333333,1.0365997454012332e-08
realDonaldTrump_201673,52303,153120,realDonaldTrump,2016-07-03,40.85236,37.58384333333333,1.0365997454012332e-08
HillaryClinton_2016730,60514,206069,HillaryClinton,2016-07-30,40.24586,38.50662333333333,1.0517400489467668e-08
realDonaldTrump_2016730,165933,512149,realDonaldTrump,2016-07-30,40.24586,38.50662333333333,1.0517400489467668e-08
HillaryClinton_2016731,42703,123297,HillaryClinton,2016-07-31,41.13602,37.831543333333336,1.1050659355591922e-08
realDonaldTrump_2016731,59925,183709,realDonaldTrump,2016-07-31,41.13602,37.831543333333336,1.1050659355591922e-08
HillaryClinton_201674,12469,36533,HillaryClinton,2016-07-04,42.24645777777778,42.50544444444444,3.7020051840742095e-06
realDonaldTrump_201674,79496,237064,realDonaldTrump,2016-07-04,42.24645777777778,42.50544444444444,3.7020051840742095e-06
HillaryClinton_201675,51385,144039,HillaryClinton,2016-07-05,43.495267142857145,43.16623476190476,1.3886546189476663e-05
realDonaldTrump_201675,97298,263504,realDonaldTrump,2016-07-05,43.495267142857145,43.16623476190476,1.3886546189476663e-05
HillaryClinton_201676,48525,106111,HillaryClinton,2016-07-06,45.29197833333333,40.66735,1.2124288441435012e-06
realDonaldTrump_201676,87531,232630,realDonaldTrump,2016-07-06,45.29197833333333,40.66735,1.2124288441435012e-06
HillaryClinton_201677,69475,151983,HillaryClinton,2016-07-07,42.19336666666667,37.61804333333333,1.9134794439439935e-08
realDonaldTrump_201677,37292,119897,realDonaldTrump,2016-07-07,42.19336666666667,37.61804333333333,1.9134794439439935e-08
HillaryClinton_201678,47636,127891,HillaryClinton,2016-07-08,42.426395,40.11371833333333,4.685687938972787e-06
realDonaldTrump_201678,58937,187167,realDonaldTrump,2016-07-08,42.426395,40.11371833333333,4.685687938972787e-06
HillaryClinton_201679,14261,36351,HillaryClinton,2016-07-09,43.92683666666667,35.24251,9.311935254786951e-09
realDonaldTrump_201679,12015,40404,realDonaldTrump,2016-07-09,43.92683666666667,35.24251,9.311935254786951e-09
HillaryClinton_201681,49812,108947,HillaryClinton,2016-08-01,38.97882111111111,41.23314,2.8085204941454973e-06
realDonaldTrump_201681,185375,527385,realDonaldTrump,2016-08-01,38.97882111111111,41.23314,2.8085204941454973e-06
HillaryClinton_2016810,44040,109319,HillaryClinton,2016-08-10,43.049778333333336,38.52193833333333,2.4076661604734563e-08
realDonaldTrump_2016810,92277,269069,realDonaldTrump,2016-08-10,43.049778333333336,38.52193833333333,2.4076661604734563e-08
HillaryClinton_2016811,88040,243295,HillaryClinton,2016-08-11,37.643481666666666,46.027955,4.853773431381186e-05
realDonaldTrump_2016811,33292,92071,realDonaldTrump,2016-08-11,37.643481666666666,46.027955,4.853773431381186e-05
HillaryClinton_2016812,47227,104525,HillaryClinton,2016-08-12,39.23186833333333,42.18434666666666,1.2947059120810191e-05
realDonaldTrump_2016812,57752,179583,realDonaldTrump,2016-08-12,39.23186833333333,42.18434666666666,1.2947059120810191e-05
HillaryClinton_2016813,12533,36384,HillaryClinton,2016-08-13,41.8392,37.65226666666667,1.9977359653189682e-08
realDonaldTrump_2016813,44668,150342,realDonaldTrump,2016-08-13,41.8392,37.65226666666667,1.9977359653189682e-08
HillaryClinton_2016814,8221,28728,HillaryClinton,2016-08-14,42.12119166666667,42.737815000000005,2.2514487780940672e-08
realDonaldTrump_2016814,112709,343441,realDonaldTrump,2016-08-14,42.12119166666667,42.737815000000005,2.2514487780940672e-08
HillaryClinton_2016815,69757,183495,HillaryClinton,2016-08-15,38.431605,42.77850333333333,5.456909087678678e-07
realDonaldTrump_2016815,24673,49010,realDonaldTrump,2016-08-15,38.431605,42.77850333333333,5.456909087678678e-07
HillaryClinton_2016816,32338,88693,HillaryClinton,2016-08-16,44.73489833333333,42.47527333333333,4.069798260142871e-06
realDonaldTrump_2016816,37074,99118,realDonaldTrump,2016-08-16,44.73489833333333,42.47527333333333,4.069798260142871e-06
HillaryClinton_2016817,27742,71840,HillaryClinton,2016-08-17,45.41140222222222,39.65714777777778,1.3365309535721275e-06
realDonaldTrump_2016817,50530,142190,realDonaldTrump,2016-08-17,45.41140222222222,39.65714777777778,1.3365309535721275e-06
